,id,bairro,subprefeitura,tipo_escola,nome_escola,logradouro,numero_endereco,lat,lon,quantidade
67,390,PARQUE COLUMBIA,ZONA NORTE,ESCOLA MUNICIPAL,ANDREA FONTES PEIXOTO,RUA FAUSTO E CASTRUA,S/N,-22.81631,-43.34015,257
68,608,PAVUNA,ZONA NORTE,ESCOLA MUNICIPAL,GRANDJEAN DE MONTIGNY,PRACA DOS UCRANIANOS,S/N,-22.81389,-43.37393,260
69,589,ANCHIETA,ZONA NORTE,ESCOLA MUNICIPAL,MARIO PIRAGIBE,PRACA NOSSA SENHORUA DAS DORES,S/N,-22.82558,-43.39208,317
70,256,ANCHIETA,ZONA NORTE,ESCOLA MUNICIPAL,PARAIBA,ESTRADA MARECHAL ALENCASTRUA .,4,-22.82636,-43.40288,345
71,091,GUADALUPE,ZONA NORTE,ESCOLA MUNICIPAL,PIAUI,AVENIDA BRASIL .,23,-22.84542,-43.37852,315
72,248,TURIACU,ZONA NORTE,ESCOLA MUNICIPAL,ASPIRANTE CARLOS ALFREDO,RUA IBIA,105,-22.86085,-43.34455,513
73,623,VILA KOSMOS,ZONA NORTE,ESCOLA MUNICIPAL,CECILIA MEIRELES,RUA SD. SERVINO MENGARDA,260,-22.84944,-43.30379,416
74,603,CAVALCANTI,ZONA NORTE,ESCOLA MUNICIPAL,ESPIRITO SANTO,RUA HERCULANO PENA,S/N,-22.8743,-43.31472,352
75,673,VILA DA PENHA,ZONA NORTE,ESCOLA MUNICIPAL,GRECIA,AVENIDA BRAZ DE PINA,1614,-22.83783,-43.31254,393
76,520,REALENGO,GRANDE BANGU,ESCOLA MUNICIPAL,BARONESA DE SAAVEDRA,RUA MAL. BIBIANO COSTALAT -,483,-22.87185,-43.43243,136
77,412,OSVALDO CRUZ,ZONA NORTE,ESCOLA MUNICIPAL,MOZART LAGO,RUA JOSE CARVALHO SALGADO,S/N,-22.87221,-43.35033,395
78,031,ROCHA MIRANDA,ZONA NORTE,ESCOLA MUNICIPAL,PARA,AVENIDA DOS ITALIANOS,500,-22.85196,-43.34949,115
79,514,CASCADURA,ZONA NORTE,ESCOLA MUNICIPAL,PARANA,AVENIDA ERNANI CARDOSO,316,-22.88241,-43.33811,534
80,023,BENTO RIBEIRO,ZONA NORTE,ESCOLA MUNICIPAL,CERVANTES,RUA ABILIO DOS SANTOS,170,-22.86459,-43.36595,342
81,415,COLEGIO,ZONA NORTE,ESCOLA MUNICIPAL,LUIZ DE CAMOES,ESTRUA LUIZDE CAMOES,1446,-22.84604,-43.33867,152
82,016,CIDADE DE DEUS,JACAREPAGUA,CENTRO INTEGRADO DE EDUCACAO PUBLICA,JOAO BATISTA DOS SANTOS,RUA EDGAR WERNECK .,1,-22.94711,-43.35974,430
83,570,GARDENIA AZUL,JACAREPAGUA,ESCOLA MUNICIPAL,HELENA LOPES ABRANCHES,RUA ACAPORUA,495,-22.96072,-43.35344,466
84,528,RECREIO DOS BANDEIRANTES,BARRA DA TIJUCA,CENTRO INTEGRADO DE EDUCACAO PUBLICA,MARGARET MEE,RUA MINISTRUA ALIOMAR BALEEIRUA,S/N,-23.01981,-43.48172,51
85,414,RIO DAS PEDRAS,ZONA OESTE,ESCOLA MUNICIPAL,CLAUDIO BESSERMAN VIANNA - BUSSUNDA,ESTRADA DE JACAREPAGUA,3327,-22.97336,-43.32916,26
86,690,CAMORIM,BARRA DA TIJUCA,ESCOLA MUNICIPAL,FINLANDIA,RUA IGARAPE-ACU,S/N,-22.97199,-43.41011,94
87,202,VARGEM GRANDE,BARRA DA TIJUCA,ESCOLA MUNICIPAL,PROFESSOR TEOFILO MOREIRA DA COSTA,RUA ESPERANCA,387,-22.98173,-43.49164,121
88,550,FREGUESIA (JACAREPAGUA),JACAREPAGUA,ESCOLA MUNICIPAL,25 DE ABRIL,RUA MAMORUA,78,-22.93816,-43.34258,128
89,211,TAQUARA,JACAREPAGUA,ESCOLA MUNICIPAL,FRANCIS HIME,ESTRADA PAU DA FOME,196,-22.91883,-43.41625,520
90,206,PRACA SECA,JACAREPAGUA,ESCOLA MUNICIPAL,HONDURAS,PRACA BARAO DA TAQUARUA,12,-22.89693,-43.35267,392
91,492,FREGUESIA (JACAREPAGUA),JACAREPAGUA,ESCOLA MUNICIPAL,MENEZES CORTES,PRACA JOSE ALVES DE AZEVEDO,43,-22.94266,-43.33897,319
92,466,TAQUARA,JACAREPAGUA,ESCOLA MUNICIPAL,NELSON RODRIGUES,RUA FREI LUIZ ALEVATO,S/N,-22.93533,-43.36973,279
93,636,TAQUARA,JACAREPAGUA,ESCOLA MUNICIPAL,PABLO NERUDA,ESTRADA DO MAPUA RUA,3,-22.92688,-43.38788,161
94,527,PECHINCHA,JACAREPAGUA,ESCOLA MUNICIPAL,VIRGILIO VARZEA,RUA JOSE SILVA,155,-22.93253,-43.35113,179
95,586,SENADOR CAMARA,GRANDE BANGU,CENTRO INTEGRADO DE EDUCACAO PUBLICA,ANTONIO EVARISTO DE MORAES,AVENIDA DE SANTA CRUZ,S/N,-22.88179,-43.48733,194
96,080,BANGU,GRANDE BANGU,ESCOLA MUNICIPAL,JOSE MAURO DE VASCONCELOS,RUA MARLIERIA,S/N,-22.85044,-43.46686,599
97,398,BANGU,GRANDE BANGU,ESCOLA MUNICIPAL,LEONARDO DA VINCI,RUA RENATO REBECCHI,S/N,-22.89253,-43.47295,315
98,175,BANGU,GRANDE BANGU,ESCOLA MUNICIPAL,NACOES UNIDAS,RUA DOS LIMADORES,S/N,-22.88815,-43.47629,435
99,308,REALENGO,GRANDE BANGU,CENTRO INTEGRADO DE EDUCACAO PUBLICA,THOMAS JEFFERSON,ESTRADA DO ENGENHO NOVO,S/N,-22.86652,-43.42515,400
100,576,REALENGO,GRANDE BANGU,ESCOLA MUNICIPAL,CORYNTHO DA FONSECA,RUA URUQUE,S/N,-22.85894,-43.44387,148
101,495,DEODORO,GRANDE BANGU,ESCOLA MUNICIPAL,ENGENHEIRO LAFAYETTE DE ANDRADA,AVENIDA DUQUE DE CAXIAS,170,-22.85609,-43.38661,128
102,641,PADRE MIGUEL,GRANDE BANGU,ESCOLA MUNICIPAL,LAURO MULLER,RUA ROSA DE ALMEIDA,113,-22.88207,-43.44644,269
103,689,PADRE MIGUEL,GRANDE BANGU,ESCOLA MUNICIPAL,MOACIR PADILHA,RUA GENERAL GOMES DE CASTRUA,30,-22.86877,-43.45065,571
104,171,REALENGO,GRANDE BANGU,ESCOLA MUNICIPAL,PADRE LEONEL FRANCA,AVENIDA CANAL,S/N,-22.88346,-43.42945,235
105,477,REALENGO,GRANDE BANGU,ESCOLA MUNICIPAL,PAULO MARANHAO,RUA DO GOVERNO,866,-22.89299,-43.44122,187
106,687,REALENGO,GRANDE BANGU,ESCOLA MUNICIPAL,TASSO DA SILVEIRA,RUA GENERAL BERNARDINO DE MATOS,S/N,-22.88386,-43.41733,306
107,568,JARDIM SULACAP,GRANDE BANGU,ESCOLA MUNICIPAL,VISCONDE DE PORTO SEGURO,RUA TEOFILO GUIMARAES,604,-22.88908,-43.39248,362
108,399,CAMPO GRANDE,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,CLEMENTINA DE JESUS,AVENIDA ALHAMBRUA,S/N,-22.92529,-43.56665,71
109,255,SENADOR VASCONCELOS,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,FRANCISCO CAVALCANTE PONTES DE MIRANDA,ESTRADA MORICABA,S/N,-22.92529,-43.56665,591
110,262,SENADOR VASCONCELOS,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,HERIVELTO MARTINS,PRACA SANTO ANASTACIO,S/N,-22.88649,-43.5288,221
111,616,CAMPO GRANDE,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,PROFESSOR DARCI RIBEIRO,RUA CONCHAS,S/N,-22.8873,-43.58736,372
112,320,COSMOS,ZONA OESTE,COLEGIO MUNICIPAL,PRESIDENTE ANTONIO CARLOS,RUA PEQUIA,97,-22.91097,-43.61605,479
113,144,CAMPO GRANDE,ZONA OESTE,ESCOLA MUNICIPAL,ALFREDO CESARIO ALVIM,RUA RIO DA PRATA RUA LUISA MARILAC,20,-22.92315,-43.51877,99
114,534,CAMPO GRANDE,ZONA OESTE,ESCOLA MUNICIPAL,CORA CORALINA,RUA VOTORANTIM KM  MENDANHA,10,-22.85878,-43.53705,157
115,342,CAMPO GRANDE,ZONA OESTE,ESCOLA MUNICIPAL,FERNANDO COSTA,RUA JOSE ALBANO,S/N,-22.89036,-43.59399,296
116,052,INHOAIBA,ZONA OESTE,ESCOLA MUNICIPAL,PROFESSOR PAULO SILVA,RUA JAIRUA CORREA,S/N,-22.90859,-43.58474,330
117,139,CAMPO GRANDE,ZONA OESTE,ESCOLA MUNICIPAL,JESUS SOARES PEREIRA,RUA CONSOLACAO,138,-22.91959,-43.54684,316
118,323,SANTA CRUZ,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,ISMAEL NERY,AVENIDA CESARIO DE MELO,S/N,-22.93416,-43.66213,106
119,573,PACIENCIA,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,MAJOR MANUEL GOMES ARCHER,RUA CABO SAULO DE VASCONCELOS,S/N,-22.88855,-43.63805,207
120,560,SANTA CRUZ,ZONA OESTE,ESCOLA MUNICIPAL,ANDRE VIDAL DE NEGREIROS,RUA FELIPE CARDOSO,750,-22.92139,-43.68058,308
121,246,SANTA CRUZ,ZONA OESTE,ESCOLA MUNICIPAL,FERNANDO AZEVEDO,RUA DAS PALMEIRAS IMPERIAIS,S/N,-22.92306,-43.69233,459
122,319,PACIENCIA,ZONA OESTE,ESCOLA MUNICIPAL,MARECHAL PEDRO CAVALCANTI,RUA PORTO FIRME,S/N,-22.92485,-43.63289,537
123,584,SEPETIBA,ZONA OESTE,ESCOLA MUNICIPAL,NELSON ROMERO,RUA JOSE BALDINO,S/N,-22.97174,-43.69735,342
124,311,SANTA CRUZ,ZONA OESTE,ESCOLA MUNICIPAL,PESTALOZZI,RUA SEVERIANO DAS CHAGAS,S/N,-22.91572,-43.67975,162
125,316,PACIENCIA,ZONA OESTE,ESCOLA MUNICIPAL,PROFESSORA FLAVIA DOS SANTOS SOARES,RUA EUDALDO GOMES DA SILVA CONJ URUCANIA,S/N,-22.91403,-43.65344,579
126,497,PACIENCIA,ZONA OESTE,ESCOLA MUNICIPAL,PROFESSORA LEILA MEHL MENEZES DE MATTOS,AVENIDA MARIO PEREIRUA DOS SANTOS,S/N,-22.87319,-43.62773,517
127,297,SANTA CRUZ,ZONA OESTE,ESCOLA MUNICIPAL,PROFESSORA SILVIA DE ARAUJO TOLEDO,AVENIDA CANAL  CONJ. CESARAO,3,-22.93011,-43.6529,316
128,068,SEPETIBA,ZONA OESTE,ESCOLA MUNICIPAL,WALQUIR PEREIRA,ESTRADA DE SEPETIBA BLOCO,1,-22.95601,-43.68675,135
129,515,PEDRA DE GUARATIBA,ZONA OESTE,CENTRO INTEGRADO DE EDUCACAO PUBLICA,HILDEBRANDO DE ARAUJO GOES,ESTRADA DA PEDRA,S/N,-22.97451,-43.64817,341
130,289,GUARATIBA,ZONA OESTE,ESCOLA MUNICIPAL,BERTHA LUTZ,ESTRADA DO PIAI,2075,-22.97906,-43.67058,329
131,210,PEDRA DE GUARATIBA,ZONA OESTE,ESCOLA MUNICIPAL,DEBORA MENDES DE MORAES,RUA BELCHIOR DA FONSECA,643,-23.00142,-43.63876,570
132,474,GUARATIBA,ZONA OESTE,ESCOLA MUNICIPAL,ENGENHEIRO GASTAO RANGEL,ESTRADA DO MAGARCA .,9,-22.98046,-43.64354,320
133,301,GUARATIBA,ZONA OESTE,ESCOLA MUNICIPAL,JONATAS SERRANO,ESTRADA DO MATO ALTO,S/N,-22.95316,-43.57741,335
134,215,ILHA DE GUARATIBA,ZONA OESTE,ESCOLA MUNICIPAL,NARCISA AMALIA,ESTRADA TEODORETO DE CAMARGO,S/N,-23.00908,-43.53758,316
135,606,ILHA DE GUARATIBA,ZONA OESTE,ESCOLA MUNICIPAL,PROFESSOR CASTILHO,CAMINHO DA MATRIZ,4406,-22.99412,-43.59368,521
